0.08	0.08	0.1	0.24	0.9
0	0	0.5	0.2	0.85
0.18	0.18	0.55	0.3	0.81
0.1	0.1	0.7	0.15	0.9
0.12	0.12	0.75	0.35	0.8
0.09	0.3	0.68	0.18	0.85
0.08	0.325	0.62	0.94	0.56
0.15	0.275	0.8	0.21	0.81
0.18	0.32	0.04	0.19	0.82
0.2	0.45	0.28	0.31	0.78
0.2	0.49	0.6	0.2	0.78
0.13	0.39	0.85	0.38	0.77
0.18	0.34	0.71	0.71	0.9
0.24	0.75	0.32	0.18	0.86
0.18	0.51	0.58	0.33	0.82
0.31	0.1	0.41	0.42	0.75
0.28	0.16	0.69	0.33	0.78
0.325	0.25	0.38	0.31	0.79
0.323	0.32	0.89	0.32	0.8
0.258	0.25	0.295	0.33	0.77
0.299	0.32	0.31	0.33	0.87
0.299	0.295	0.8	0.37	0.84
0.32	0.28	0.72	0.89	0.58
0.329	0.55	0.02	0.4	0.79
0.315	0.69	0.28	0.8	0.7
0.325	0.61	0.46	0.32	0.81
0.325	0.9	0.52	0.49	0.76
0.312	0.8	0.67	0.92	0.5
0.299	0.7	0.95	0.22	0.66
0.48	0.12	0.28	0.7	0.71
0.46	0.2	0.76	0.95	0.65
0.48	0.3	0.15	0.65	0.77
0.49	0.245	0.38	0.14	0.86
0.495	0.276	0.58	0.77	0.83
0.445	0.39	0.02	0.24	0.88
0.43	0.45	0.27	0.27	0.89
0.4	0.33	0.12	0.3	0.9
0.38	0.36	0.46	0.49	0.78
0.41	0.49	0.34	0.21	0.92
0.44	0.33	0.59	0.53	0.85
0.49	0.34	0.88	0.75	0.71
0.44	0.55	0.11	0.26	0.83
0.45	0.65	0.19	0.99	0.55
0.46	0.78	0.38	0.24	0.89
0.495	0.82	0.67	0.01	0.93
0.49	0.9	0.52	0.9	0.47
0.42	0.7	0.72	0.3	0.8
0.4	0.61	0.71	0.88	0.67
0.78	0.21	0.68	0.65	0.75
0.85	0.05	0.91	0.8	0.68
0.9	0.26	0.19	0.58	0.79
0.6	0.31	0.31	0.87	0.58
0.77	0.29	0.74	0.82	0.68
0.88	0.335	0.19	0.55	0.78
0.99	0.49	0.07	0.7	0.69
0.83	0.44	0.49	0.91	0.66
0.66	0.36	0.56	0.4	0.83
0.71	0.46	0.95	0.78	0.86
0.91	0.58	0.26	0.89	0.88
0.89	0.68	0.49	0.65	0.9
0.61	0.78	0.69	0.92	0.58
0.54	0.82	0.71	0.29	0.77
0.66	0.9	0.76	0.87	0.74
