0.06	0.06	0.05	0.25	0.33
0.08	0.08	0.08	0.98	0.24
0.2	0.14	0.35	0.72	0.25
0.06	0.06	0.51	0.41	0.3
0.1	0.25	0.1	0.08	0.33
0.15	0.32	0.05	0.27	0.29
0.12	0.28	0.2	0.78	0.2
0.18	0.31	0.32	0.42	0.28
0.06	0.29	0.35	0.76	0.25
0.09	0.255	0.6	0.45	0.25
0.15	0.295	0.75	0.65	0.24
0.1	0.256	0.7	0.76	0.16
0.06	0.35	0.12	0.43	0.29
0.1	0.42	0.22	0.72	0.26
0.18	0.4	0.32	0.08	0.33
0.02	0.33	0.36	0.76	0.1
0.06	0.5	0.09	0.28	0.25
0.09	0.55	0.12	0.78	0.05
0.1	0.6	0.33	0.42	0.26
0.08	0.58	0.6	0.64	0.1
0.09	0.61	0.53	0.75	0.01
0.2	0.68	0.73	0.48	0.28
0.28	0.1	0.12	0.28	0.32
0.265	0.06	0.57	0.75	0.1
0.275	0.1	0.72	0.1	0.3
0.295	0.2	0.86	0.44	0.28
0.32	0.12	0.79	0.76	0.24
0.25	0.29	0.15	0.48	0.26
0.27	0.1	0.1	0.7	0.25
0.27	0.31	0.32	0.41	0.28
0.29	0.29	0.4	0.78	0.18
0.288	0.31	0.79	0.23	0.24
0.255	0.305	0.86	0.62	0.15
0.295	0.25	0.73	0.77	0.19
0.243	0.27	0.08	0.42	0.29
0.27	0.28	0.18	0.48	0.26
0.245	0.26	0.38	0.49	0.27
0.295	0.29	0.31	0.76	0.1
0.276	0.255	0.81	0.27	0.33
0.258	0.31	0.88	0.4	0.3
0.28	0.65	0.4	0.65	0.13
0.255	0.75	0.35	0.72	0.25
0.305	0.55	0.5	0.11	0.333
0.265	0.76	0.8	0.28	0.28
0.255	0.72	0.72	0.63	0.14
0.39	0.05	0.02	0.06	0.34
0.38	0.1	0.4	0.48	0.26
0.37	0.06	0.32	0.78	0.1
0.38	0.01	0.53	0.27	0.3
0.39	0.15	0.81	0.22	0.29
0.365	0.243	0.19	0.24	0.35
0.345	0.299	0.1	0.64	0.13
0.334	0.295	0.33	0.32	0.3
0.39	0.26	0.39	0.77	0.14
0.348	0.329	0.83	0.61	0.18
0.35	0.38	0.32	0.6	0.16
0.42	0.36	0.63	0.04	0.25
0.4	0.42	0.58	0.75	0.16
0.38	0.39	0.79	0.33	0.3
0.39	0.42	0.83	0.65	0.19
0.365	0.68	0.1	0.63	0.18
0.37	0.55	0.41	0.29	0.3
0.38	0.59	0.31	0.62	0.2
0.49	0.64	0.34	0.78	0.21
0.365	0.57	0.59	0.55	0.25
0.55	0.1	0.27	0.25	0.29
0.73	0.2	0.07	0.72	0.26
0.69	0.02	0.62	0.3	0.29
0.62	0.14	0.52	0.81	0.15
0.6	0.251	0.39	0.29	0.3
0.52	0.288	0.32	0.5	0.3
0.58	0.295	0.62	0.28	0.3
0.61	0.258	0.56	0.62	0.24
0.58	0.299	0.73	0.63	0.21
0.58	0.348	0.06	0.29	0.31
0.61	0.33	0.36	0.28	0.28
0.51	0.4	0.4	0.59	0.23
0.58	0.35	0.51	0.27	0.3
0.523	0.41	0.55	0.6	0.22
0.5	0.4	0.73	0.62	0.2
0.52	0.85	0.06	0.27	0.25
0.58	0.58	0.31	0.29	0.29
0.54	0.51	0.55	0.64	0.19
